Delay    PID    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst    CPUBurst    IOBurst 
2          0         26         16        100         73        101         71         42         32         71        106         40        112         72         87        116         32 
4          1        119         28         31          4          4        103         37         32         89         24         76         93         18         85         82         84 
1          2         26        110         10         35         84        110        106         93         24         15         27         21         73         98        112         41 
3          3         62         19         58         36         27         47         28         53         88         21         43         36         62         91         42         11 
1          4          6        117         37         82         52          9         87         85         24         61         94         67         38        105          9        102 
3          5        106         22         49         74        106        112        103         88         25         18         29         75         84        110        116         38 
3          6         12         21         16         32         14         18         39         91         95        118         21         56         41          7         42        102 
3          7         86         23        100         39         74         94         22        116         68         63         56         74         44         18          3         80 
4          8         15        108         32         48         11         67         92         28         94          5         73          2         40         88        116         36 
1          9         85         79        107         17         59         39         53         23        118        103         77          5        105         20        101         43 
0          10         37          8         32        108         79         85         37         83         71         36         89        108         30        112         93         38 
0          11        119         88        111         78        101         74         25         99        107         64         52         59         38         48         49         33 
2          12         92         23         65         36         72          3         47        116         18         47          4         85         26         53         53          6 
3          13          8         86          5         13        114          6        112         33         64         88         23         60         46          9         58         94 
2          14          5         58         49         69         59         76         93         74         25         89        106          3         91         63         81         67 
1          15        110         54         88         64         59         25         92        100         84        109         36         84         91         10        114         10 
4          16         88         88          9         93          2         72          2         47         50         53         25         35        116        106         73         87 
2          17         67         31         79         29         73         63         75         60         48         85         26         75         99        112         65         58 
3          18         61         36        112         23        117         59         42         25        101         66         74         20         32        105        112         23 
3          19         74        112        110         61         98         62         76        109          6         55         26         54         99         39        109         20 
1          20         47         77         41          8         19         88         56         43         26         40         96         27         25         60        102         60 
3          21         74        105        104         82         84         40         33         91         54         54        105         98         46         48         41        119 
2          22         60          7         48         67         78         21         16         64         93         40        101         24         35         78         81         79 
4          23         18         64         31         54         62         32         74         74         66        103         82        103         48         82         90        108 
2          24         27         68         17         88          6         88         56         33        117         86         69          2        114         27         71        110 
4          25         46         74        115         90         40         47         37         28        111        117         90         37        106          9         99        118 
3          26         40         30         76         79          4         51          7         51        116        101         88         20         64        114          9         43 
4          27         75          5         83         29         30         64         11         94         79         64         90        104         62         33        107         32 
3          28         70        107        103         82        101        118         34         79         81         88         81         13         23         75         72        104 
4          29         74         18         51         39         55        107         51         11         32         18        101          5        108         67         54         90 
1          30         30        106         92         14        118         48         17         65         43         45         31          5         35         16         96         40 
1          31         41         57         71         95         88          9         60         53          9          9        114        103         33         86         79         20 
2          32         41         47         87        104         78         85         16         11         44         36         55        110        103         14         55         87 
